DATE,DoW,Time,Percent_reported,number_of_missing
2022_01_09,Sunday,14:32,6.54,83
2022_01_10,Monday,14:53,2.68,34
2022_01_11,Tuesday,09:25,22.06,280
2022_01_12,Wednesday,10:44,11.74,149
2022_01_13,Thursday,10:51,9.77,124
2022_01_14,Friday,11:08,8.9,113
2022_01_17,Monday,11:25,5.44,69
2022_01_17,Monday,11:28,5.44,69
2022_01_18,Tuesday,16:49,4.73,60
2022_01_19,Wednesday,09:28,22.46,285
2022_01_19,Wednesday,13:10,4.26,54
2022_01_20,Thursday,16:56,3.47,44
2022_01_22,Saturday,09:19,47.68,605
2022_01_23,Sunday,20:53,5.75,73
2022_01_25,Tuesday,11:47,5.13,65
2022_01_26,Wednesday,09:32,23.4,297
2022_01_26,Wednesday,23:26,2.44,31
2022_01_27,Thursday,17:39,2.99,38
2022_01_28,Friday,10:02,16.23,206
2022_01_28,Friday,13:40,3.86,49
2022_01_28,Friday,15:07,3.55,45
2022_01_28,Friday,15:08,3.55,45
2022_01_29,Saturday,10:01,31.36,398
2022_01_30,Sunday,09:46,35.86,455
2022_01_30,Sunday,10:21,25.45,323
2022_02_01,Tuesday,10:12,16.39,208
2022_02_02,Wednesday,10:06,15.21,193
2022_02_03,Thursday,10:27,14.04,178
2022_02_04,Friday,12:34,4.18,53
2022_02_06,Sunday,18:00,5.99,76
2022_02_09,Wednesday,15:10,3.55,45
2022_02_14,Monday,17:39,2.92,37
2022_02_15,Tuesday,11:55,5.52,70
2022_02_15,Tuesday,13:39,3.94,50
2022_02_16,Wednesday,09:39,20.58,261
2022_02_16,Wednesday,13:34,4.65,59
2022_02_16,Wednesday,13:35,4.65,59
2022_02_18,Friday,10:01,17.52,222
2022_02_20,Sunday,13:29,7.02,89
2022_02_20,Sunday,15:59,6.08,77
2022_02_21,Monday,11:02,10.34,131
2022_02_21,Monday,14:54,3.87,49
2022_02_21,Monday,15:23,3.55,45
2022_02_22,Tuesday,09:18,26.28,333
2022_02_23,Wednesday,13:56,3.95,50
2022_02_24,Thursday,11:29,8.37,106
2022_02_25,Friday,12:43,5.52,70
2022_02_26,Saturday,10:10,27.01,342
2022_02_27,Sunday,18:25,6.17,78
2022_02_28,Monday,17:28,3.55,45
2022_03_01,Tuesday,14:51,3.0,38
2022_03_02,Wednesday,10:54,10.82,137
2022_03_02,Wednesday,18:01,3.32,42
2022_03_03,Thursday,15:21,3.08,39
2022_03_06,Sunday,16:08,6.24,79
2022_03_08,Tuesday,09:56,17.69,224
2022_03_08,Tuesday,21:48,2.92,37
2022_03_09,Wednesday,17:11,3.16,40
2022_03_10,Thursday,09:27,24.15,306
2022_03_10,Thursday,19:51,3.4,43
2022_03_11,Friday,09:42,19.43,246
2022_03_11,Friday,20:23,3.63,46
2022_03_13,Sunday,10:37,17.21,218
2022_03_13,Sunday,22:42,5.45,69
2022_03_15,Tuesday,08:54,33.7,427
2022_03_16,Wednesday,10:54,10.98,139
2022_03_17,Thursday,09:14,28.04,355
2022_03_18,Friday,10:20,15.12,191
2022_03_19,Saturday,16:13,6.25,79
2022_03_20,Sunday,13:37,6.25,79
